ntaname,Afghan,African (General),American,Arabic,Argentine,Armenian,Asian Fusion,Australian,Austrian,Bangladeshi,Basque,Belgian,Brazilian,British,Burmese,Cajun/Creole,Cambodian,Cantonese,Caribbean (General),Catalan,Chinese,Colombian,Cuban,Czech,Dominican,Egyptian,Eritrean,Ethiopian,Filipino,French,Georgian,German,Greek,Hainan,Haitian,Hawaiian,Himalayan/Nepalese,Honduran,Hungarian,Iberian,Indian,Indonesian,Irish,Italian,Japanese,Korean,Laotian,Latin American (General),Lebanese,Malaysian,Mediterranean,Mexican,Middle Eastern (General),Modern European,Mongolian,Moroccan,New American,New Mexican Cuisine,Pakistani,Pan Asian,Persian/Iranian,Peruvian,Polish,Portuguese,Puerto Rican,Russian,Salvadoran,Sardinian,Scandinavian,Scottish,Senegalese,Shanghainese,Sicilian,Singaporean,Slovakian,Soul Food,South African,Southern,Spanish,Sri Lankan,Syrian,Szechuan,Taiwanese,Tex-Mex,Thai,Trinidadian,Turkish,Tuscan,Ukrainian,Uzbek,Venezuelan,Vietnamese,highest_category
North Riverdale-Fieldston-Riverdale,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,American
North Side-South Side,1,0,25,0,0,0,8,2,0,0,0,0,2,0,0,2,0,1,6,0,11,0,0,0,4,0,0,0,0,8,1,1,0,0,0,2,0,0,0,0,7,1,0,23,17,6,0,10,0,0,17,48,12,0,0,3,33,2,1,2,1,3,0,1,3,0,0,1,1,0,0,4,0,0,0,0,0,2,4,0,0,2,3,1,7,0,1,0,0,0,1,8,Mexican
Norwood,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,2,0,0,0,11,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Mexican
Oakland Gardens,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,Chinese
Oakwood-Oakwood Beach,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,American
Ocean Hill,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Caribbean (General)
Ocean Parkway South,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Chinese
Old Astoria,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,2,0,0,7,1,0,0,1,0,0,8,10,1,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mexican
Old Town-Dongan Hills-South Beach,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,4,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Italian
Ozone Park,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,3,1,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,Chinese
